character_id:ID,name,wiki_url,image_url,group_name,age,gender,full_name,hair_color,:LABEL
Stan_Marsh,Stan Marsh,https://wiki.southpark.cc.com/wiki/Stan_Marsh,http://southparkstudios.mtvnimages.com/shared/characters/kids/stan-marsh.png?height=250,The Four Boys,10,Male,Stanley Stan Marsh,Black,"TheFourBoys;Character;Entity;SuperBestFriend;CloseFriend;BestFriend;Boyfriend;Classmate;Rival;Friend;Brother;Nephew;Grandson;Family;Son;Owner;JuniorDetectivesSlashInspector;Ally;Successor"
Kyle_Broflovski,Kyle Broflovski,https://wiki.southpark.cc.com/wiki/Kyle_Broflovski,http://southparkstudios.mtvnimages.com/shared/characters/kids/kyle-broflovski.png?height=250,The Four Boys,9,Male,Kyle Broflovski,Red/Auburn,"TheFourBoys;Character;Entity;SuperBestFriend;ArchRival;BestFriend;CloseFriend;Classmate;OtherPastLoveInterest;RomanticInterest;LoveInterest;Cousin;Family;Rival;Brother;Grandson;Son;Owner;JuniorDetectivesSlashInspector;Ally;Member;TheAgent;Accountant/Jew;Current;FormerMember"
Eric_Cartman,Eric Cartman,https://wiki.southpark.cc.com/wiki/Eric_Cartman,http://southparkstudios.mtvnimages.com/shared/characters/kids/eric-cartman.png?height=250,The Four Boys,10,Male,Eric Theodore Cartman,Brown,"TheFourBoys;Character;Entity;CloseFriend;ArchRival;OtherOutfit;BestFriend;RomanticRivalry;Classmate;Ex-Boyfriend;Rival;Cousin;Family;Member;Grandson;Nephew;Son;IllegitimateSon;Owner;FosterSon;JuniorDetectivesSlashInspector;PotentialSon;Ally;Creator;Aliases;TheAgent;President/Ceo;LeadSinger,Guitar;Former;Leader;CurrentMember;Scout;FormerMember"
Kenny_McCormick,Kenny McCormick,https://wiki.southpark.cc.com/wiki/Kenny_McCormick,http://southparkstudios.mtvnimages.com/shared/characters/kids/kenny-mccormick.png?height=250,The Four Boys,9,Male,"Kenneth ""Kenny"" McCormick",Blond,TheFourBoys;Character;Entity;CloseFriend;BestFriend;Classmate;FosterBrother(Former);FosterSibling;Rival;Brother;Family;Grandson;Son;Owner;FosterSon;JuniorDetectivesSlashInspector;Ally;Member;TheAgent;DeceasedMember;Current;FormerMember;Scout
Butters_Stotch,Butters Stotch,https://wiki.southpark.cc.com/wiki/Butters_Stotch,http://southparkstudios.mtvnimages.com/shared/characters/kids/butters-stotch.png?height=250,Featured 4th Graders,10,Male,"Leopold ""Butters"" Stotch",Blond,Featured4thGraders;Character;Entity;CloseFriend;BestFriend;Rival;Ex-Boyfriend;RomanticInterest;Nephew;Grandson;Mother;Family;Son;Owner;FormerMember;Member;NotableMember;Drums
Wendy_Testaburger,Wendy Testaburger,https://wiki.southpark.cc.com/wiki/Wendy_Testaburger,http://southparkstudios.mtvnimages.com/shared/characters/kids/wendy-testaburger.png?height=250,Featured 4th Graders,9,Female,Wendy Testaburger,Black,Featured4thGraders;Character;Entity;Girlfriend;Classmate;RomanticRivalry;CloseFriend;BestFriend;RomanticInterest;Friend;Admirer;Daughter;Family;Member;CheerCaptain;Current;TeamCaptain
Jimmy_Valmer,Jimmy Valmer,https://wiki.southpark.cc.com/wiki/Jimmy_Valmer,http://southparkstudios.mtvnimages.com/shared/characters/kids/jimmy-valmer.png?height=250,Featured 4th Graders,10,Male,Jimmy Valmer,Brown,Featured4thGraders;Character;Entity;CloseFriend;BestFriend;Classmate;Rival;LoveInterest;Boyfriend;Son;Family;Member;Main;NotableMember;FormerScout
Token_Black,Token Black,https://wiki.southpark.cc.com/wiki/Token_Black,http://southparkstudios.mtvnimages.com/shared/characters/kids/token-black.png?height=250,Featured 4th Graders,10,Male,Token Black,Black,Featured4thGraders;Character;Entity;TheGuy;CloseFriend;Ex-Boyfriend;Classmate;Boyfriend;Father;Family;Son;TheTalent;Main;Bass;Member;Scout
Clyde_Donovan,Clyde Donovan,https://wiki.southpark.cc.com/wiki/Clyde_Donovan,http://southparkstudios.mtvnimages.com/shared/characters/kids/clyde-donovan.png?height=250,Featured 4th Graders,10,Male,Clyde Donovan,Brown,Featured4thGraders;Character;Entity;TheGuy;CloseFriend;Classmate;Ex-Boyfriend;Brother;Family;Son;Member;CurrentMember
Craig_Tucker,Craig Tucker,https://wiki.southpark.cc.com/wiki/Craig_Tucker,http://southparkstudios.mtvnimages.com/shared/characters/kids/craig-tucker.png?height=250,Featured 4th Graders,10,Male,Craig Tucker,Black,Featured4thGraders;Character;Entity;TheGuy;CloseFriend;Boyfriend;Classmate;Brother;Member;Son;Family;Leader;Main
